Code	di.inv	di.ver	di.car	di.see	di.fru	fo.air	fo.fol	fo.tru	fo.gro	ne.foi	ne.tru	ne.roc	ne.gro	size.1	size.2	size.3	size.4	size.5	inv.1	inv.2	inv.3	inv.4	inv.5	inv.6	seden	migra.1	migra.2	migra.3	migra.4
Cpl	0	0	0	0.67	0.33	0.33	0	0	0.67	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0
Hrp	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Cci	0	0	0	1	0	0	0.33	0	0.67	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Afl	0.33	0	0	0.67	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Pap	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
Dmt	0.67	0	0	0	0.33	0	0	0.33	0.67	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
Tto	0.5	0	0	0	0.5	0.5	0	0	0.5	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
Asp	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Mci	1	0	0	0	0	0.33	0	0	0.67	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Lte	0.17	0	0	0.5	0.33	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
Scu	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Ppx	0.67	0	0	0.33	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
Ooe	0.67	0	0	0	0.33	0.33	0	0	0.67	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Nca	0	0	0	1	0	0	0.5	0	0.5	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
Pcl	0.5	0	0	0.5	0	0	0	0	1	0	0	0.5	0.5	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
Pgr	0.5	0	0.25	0	0.25	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
Ccl	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
Msa	0.67	0	0	0	0.33	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
Ach	0	0.67	0.33	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
Mni	0.5	0	0	0.5	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
Lmu	0.25	0	0	0.75	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
Tmu	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
