alti	phot	roch	habi	eau	neig	pent	arbrp	arbrf	arbup	arbuf	buip	buif	herb
A1500	3	0	2	0	0	2	0	1	0	1	0	0	3
A1650	4	1	0	0	0	2	1	0	0	2	1	1	2
A1650	4	1	0	1	0	2	0	0	0	0	0	1	3
A1650	3	1	0	1	0	2	0	0	0	0	1	0	3
A1650	2	1	0	1	0	1	0	1	0	2	0	3	3
A1650	2	0	0	1	0	3	3	0	1	0	0	1	2
A1650	3	0	0	1	0	2	2	0	0	1	0	1	3
A1650	4	1	1	1	0	3	0	0	0	2	1	2	2
A1650	4	0	0	0	0	3	2	0	0	1	0	1	3
A1650	3	0	1	0	0	2	0	0	0	0	0	0	3
A1650	1	0	1	0	0	2	2	0	1	1	0	2	2
A1650	5	1	0	1	0	2	0	2	1	1	1	0	2
A1650	2	0	0	0	0	4	2	0	1	1	0	1	2
A1650	4	0	0	0	0	2	0	2	1	1	0	1	2
A1650	5	0	0	0	0	2	0	0	0	0	0	1	3
A1650	4	0	0	0	0	2	2	0	1	1	0	1	3
A1650	4	1	1	0	0	3	2	0	1	0	0	1	1
A1650	3	0	0	0	0	2	2	0	1	1	0	2	3
A1650	3	0	0	0	0	3	0	0	0	1	0	1	2
A1650	3	1	1	0	0	1	2	0	0	1	0	1	2
A1650	1	0	0	0	0	4	2	0	1	1	0	1	2
A1650	5	1	1	0	0	1	0	0	0	1	1	1	3
A1650	3	1	0	0	0	2	0	1	0	2	1	1	2
A1650	3	1	0	0	0	2	0	1	0	1	0	3	1
A1650	3	0	1	1	0	1	0	1	0	2	0	2	1
A1650	4	1	0	1	0	2	0	0	0	0	0	0	2
A1800	2	0	0	0	0	3	2	0	0	1	0	2	2
A1800	3	1	0	0	0	2	2	0	0	0	0	0	1
A1800	4	1	0	1	0	3	0	0	0	0	0	0	2
A1800	3	1	0	0	0	3	0	0	0	0	1	0	2
A1800	4	1	0	0	0	3	1	2	1	1	1	0	2
A1800	3	0	1	0	0	1	1	1	0	1	0	0	2
A1800	4	1	1	1	0	2	1	0	1	0	1	0	3
A1800	3	0	0	0	0	2	1	0	1	1	1	1	3
A1800	3	1	0	1	0	2	0	0	0	0	0	0	2
A1800	5	0	0	0	0	2	0	0	0	0	0	0	2
A1800	3	0	0	1	0	3	0	0	0	0	0	0	3
A1800	4	0	0	0	0	2	2	0	0	0	0	2	2
A1800	3	0	0	0	0	3	1	1	1	1	1	0	2
A1800	1	0	0	0	0	4	1	1	0	2	1	1	2
A1800	5	1	0	0	0	4	0	0	0	0	0	0	3
A1800	5	1	0	0	0	2	1	0	0	1	1	1	3
A1800	5	0	0	0	0	2	0	0	0	0	0	0	2
A1800	2	0	0	1	0	2	0	1	1	0	1	0	2
A1800	4	0	0	1	0	2	1	0	0	1	0	3	3
A1800	4	0	0	0	0	2	2	0	0	1	1	0	3
A1800	3	0	1	0	0	2	0	0	0	0	0	0	2
A1800	2	0	0	0	0	2	2	1	0	1	1	0	2
A1800	3	0	0	0	0	1	0	0	0	2	0	3	2
A1800	2	0	0	0	0	3	2	1	1	0	0	1	1
A1800	2	1	0	0	0	2	0	1	0	1	1	1	2
A1800	4	1	0	1	0	2	1	1	1	2	0	3	3
A1800	1	1	0	1	0	1	0	1	0	0	1	1	3
A1800	1	1	0	1	0	4	1	0	0	1	1	1	3
A1950	2	0	0	0	0	4	1	1	1	1	1	0	2
A1950	3	0	0	0	0	2	0	0	1	1	0	3	2
A1950	3	0	0	0	0	2	0	2	0	1	1	0	1
A1950	3	0	0	0	0	2	0	0	0	0	0	1	2
A1950	4	1	0	1	0	2	0	0	0	0	0	0	3
A1950	3	2	0	1	0	3	0	0	0	0	0	0	2
A1950	3	1	0	1	0	3	0	0	0	0	1	1	3
A1950	2	0	0	0	0	3	0	1	0	2	1	1	2
A1950	3	3	0	1	0	1	0	0	0	0	0	0	2
A1950	4	1	0	0	0	3	1	0	1	0	1	0	2
A1950	5	0	0	0	0	2	0	0	0	0	0	0	3
A1950	2	1	0	0	0	4	1	0	1	1	1	1	2
A1950	2	0	0	0	0	3	0	1	1	1	1	0	2
A1950	4	0	0	0	0	3	2	1	1	0	0	1	2
A1950	4	0	0	0	0	2	2	1	1	0	0	1	3
A1950	2	0	0	0	0	4	1	2	1	1	0	1	1
A1950	1	1	0	0	0	4	0	0	0	2	1	1	2
A1950	1	3	0	0	1	2	0	0	0	0	0	0	2
A1950	3	1	0	0	0	1	0	0	0	0	1	1	2
A1950	3	1	0	0	0	3	0	0	0	0	0	0	3
A1950	5	1	1	0	0	2	0	0	0	0	0	0	3
A1950	3	2	0	0	0	3	0	0	0	0	1	0	2
A1950	4	0	0	0	0	2	0	0	0	0	1	1	3
A1950	3	2	0	1	0	1	0	0	0	0	0	0	2
A1950	4	1	1	1	0	2	0	0	0	0	0	0	3
A1950	3	3	0	1	0	1	0	0	0	0	0	0	2
A1950	2	1	0	0	0	2	2	0	1	1	1	0	2
A1950	4	1	0	0	0	4	0	0	0	0	0	0	3
A1950	4	0	0	0	0	3	0	0	0	2	0	3	2
A1950	4	3	0	1	0	3	0	0	0	0	0	0	3
A1950	1	1	0	1	0	2	0	0	0	0	0	0	3
A2100	2	1	0	0	1	2	0	0	0	0	0	0	3
A2100	3	1	0	0	0	4	0	0	0	1	1	1	3
A2100	3	0	0	0	0	3	0	0	0	0	0	0	3
A2100	5	0	1	1	0	0	0	0	0	0	0	0	3
A2100	3	0	0	0	0	3	0	0	0	1	0	3	3
A2100	4	1	0	0	0	2	0	0	1	0	0	1	3
A2100	3	3	0	1	0	1	0	0	0	0	0	0	2
A2100	4	1	0	0	0	3	0	0	1	0	1	1	2
A2100	2	1	0	0	1	4	0	0	0	0	0	0	3
A2100	3	1	0	0	0	2	1	1	1	1	1	0	2
A2100	3	0	0	0	0	1	0	0	0	0	0	0	3
A2100	2	1	0	0	1	2	0	0	0	1	0	0	2
A2100	4	1	0	0	0	4	0	0	0	0	0	0	3
A2100	4	2	0	0	0	3	0	0	0	0	0	0	2
A2100	2	1	0	1	0	1	0	0	0	0	0	0	3
A2100	2	1	0	0	0	2	0	1	1	0	1	0	2
A2100	4	1	1	1	0	4	0	0	0	0	0	0	3
A2100	3	3	0	0	0	2	0	0	0	0	1	0	1
A2100	4	1	0	0	1	3	0	0	0	0	0	0	3
A2100	3	3	0	0	1	3	0	0	0	0	0	0	2
A2100	3	1	0	0	0	2	0	0	0	0	0	0	3
A2100	3	2	0	0	0	2	0	0	0	0	0	0	2
A2100	2	1	0	1	2	3	0	0	0	0	0	0	2
A2100	4	1	0	0	0	4	0	0	0	0	0	0	3
A2100	2	1	0	0	0	1	0	0	0	0	0	0	3
A2100	1	2	0	0	2	3	0	0	0	0	0	0	1
A2100	3	1	0	0	1	1	0	0	0	0	0	0	3
A2100	2	1	0	0	1	2	0	0	0	0	0	0	3
A2100	4	2	0	1	1	1	0	0	0	0	0	0	2
A2250	5	1	1	0	1	3	0	0	0	0	0	0	3
A2250	3	1	0	1	0	2	0	0	0	0	0	0	3
A2250	2	1	1	0	2	1	0	0	0	0	0	0	3
A2250	5	1	0	0	0	3	0	0	0	0	0	0	3
A2250	5	1	0	0	0	4	0	0	0	0	0	0	3
A2250	3	1	0	0	1	3	0	0	0	0	0	0	3
A2250	3	1	0	0	0	3	0	0	0	0	0	0	3
A2250	4	1	0	0	1	4	0	0	0	0	0	0	3
A2250	2	1	0	0	2	3	0	0	0	0	0	0	2
A2250	4	1	0	0	1	2	0	0	0	0	0	0	3
A2250	4	2	0	0	0	4	0	0	0	1	1	1	2
A2250	1	2	0	0	1	4	0	0	0	0	1	0	2
A2250	4	1	0	0	0	4	0	0	0	0	0	0	3
A2250	3	1	0	1	0	3	0	0	0	0	0	0	3
A2250	3	1	0	0	1	1	0	0	0	0	0	0	2
A2250	3	2	0	0	1	1	0	0	0	0	0	0	2
A2250	3	3	0	1	0	2	0	0	0	0	0	0	1
A2250	4	2	0	0	0	4	0	0	0	0	0	0	3
A2250	3	2	0	1	2	2	0	0	0	0	0	0	1
A2250	3	2	0	0	0	2	0	0	0	0	0	0	3
A2250	1	2	0	0	0	2	0	0	0	0	0	0	2
A2250	3	1	0	1	1	1	0	0	0	0	0	0	3
A2250	2	3	0	0	1	4	0	0	0	0	0	0	2
A2250	4	2	0	0	0	2	0	0	0	0	0	0	2
A2250	3	1	0	0	1	0	0	0	0	0	0	0	3
A2250	4	2	0	0	1	1	0	0	0	0	0	0	2
A2250	3	1	0	0	1	1	0	0	0	0	0	0	3
A2250	3	3	0	0	1	4	0	0	0	0	0	0	1
A2250	3	1	0	1	1	1	0	0	0	0	0	0	3
A2250	2	2	0	0	2	4	0	0	0	0	0	0	1
A2250	3	2	0	0	1	4	0	0	0	0	0	0	2
A2400	3	2	0	0	1	1	0	0	0	0	0	0	2
A2400	2	2	0	0	1	4	0	0	0	0	0	0	2
A2400	3	2	0	0	1	1	0	0	0	0	0	0	2
A2400	3	2	0	0	2	3	0	0	0	0	0	0	1
A2400	2	1	0	0	2	1	0	0	0	0	0	0	2
A2400	3	3	0	0	1	4	0	0	0	0	0	0	1
A2400	3	2	0	1	2	4	0	0	0	0	0	0	2
A2400	3	3	0	0	0	1	0	0	0	0	0	0	2
A2400	2	2	0	0	1	3	0	0	0	0	0	0	2
A2400	3	1	0	0	1	2	0	0	0	0	0	0	2
A2400	3	0	0	0	1	2	0	0	0	0	0	0	3
A2400	3	3	0	0	2	4	0	0	0	0	0	0	1
A2400	4	2	0	0	1	4	0	0	0	0	0	0	2
A2400	4	3	0	0	0	3	0	0	0	0	0	0	1
A2400	3	2	0	0	1	1	0	0	0	0	0	0	2
A2400	4	1	1	0	1	2	0	0	0	0	0	0	2
A2400	1	1	0	1	0	1	0	0	0	0	0	0	3
A2400	3	1	0	0	2	1	0	0	0	0	0	0	2
A2400	5	2	0	0	1	2	0	0	0	0	0	0	2
A2400	1	2	0	0	2	4	0	0	0	0	0	0	1
A2400	4	2	0	0	2	3	0	0	0	0	0	0	2
A2400	3	1	0	0	1	4	0	0	0	0	0	0	3
A2400	3	2	0	0	2	2	0	0	0	0	0	0	2
A2400	2	3	0	0	1	4	0	0	0	0	0	0	2
A2400	2	3	0	0	0	2	0	0	0	0	0	0	0
A2400	2	3	0	0	0	3	0	0	0	0	0	0	1
A2400	4	3	0	0	1	3	0	0	0	0	0	0	1
A2400	2	2	0	0	2	2	0	0	0	0	0	0	2
A2400	5	0	0	1	0	1	0	0	0	0	0	0	3
A2400	3	1	0	1	1	1	0	0	0	0	0	0	3
A2550	3	2	1	0	2	1	0	0	0	0	0	0	1
A2550	2	2	0	0	1	1	0	0	0	0	0	0	2
A2550	3	1	0	0	2	2	0	0	0	0	0	0	2
A2550	3	1	0	0	2	2	0	0	0	0	0	0	2
A2550	1	1	0	1	1	1	0	0	0	0	0	0	3
A2550	3	3	0	0	1	3	0	0	0	0	0	0	1
A2550	3	2	0	1	1	1	0	0	0	0	0	0	2
A2550	3	3	0	1	1	3	0	0	0	0	0	0	1
A2550	5	3	0	0	0	4	0	0	0	0	0	0	1
A2550	3	1	0	1	1	3	0	0	0	0	0	0	3
A2550	5	3	0	0	2	4	0	0	0	0	0	0	0
A2550	3	3	0	0	1	0	0	0	0	0	0	0	1
A2550	3	3	0	0	0	3	0	0	0	0	0	0	2
A2550	3	1	0	1	1	1	0	0	0	0	0	0	3
A2550	1	2	0	0	2	1	0	0	0	0	0	0	1
A2550	3	1	1	0	0	2	0	0	0	0	0	0	3
A2550	3	3	0	0	2	3	0	0	0	0	0	0	1
A2550	5	1	0	0	0	0	0	0	0	0	0	0	3
A2550	1	3	0	0	2	2	0	0	0	0	0	0	1
A2550	3	1	0	0	2	2	0	0	0	0	0	0	2
A2550	5	2	0	0	2	3	0	0	0	0	0	0	0
A2550	4	2	0	0	0	3	0	0	0	0	0	0	2
A2550	3	3	0	1	1	3	0	0	0	0	0	0	0
A2550	3	2	0	1	2	3	0	0	0	0	0	0	0
